type_double,plage_largeur,plage_hauteur,prix
non_double,0-150,0-250,110
non_double,0-150,251-300,121
non_double,0-150,301-350,139
non_double,0-150,351-400,157
non_double,151-240,0-250,165
non_double,151-240,251-300,186
non_double,151-240,301-350,209
non_double,151-240,351-400,235
non_double,241-330,0-250,183
non_double,241-330,251-300,205
non_double,241-330,301-350,231
non_double,241-330,351-400,260
non_double,341-410,0-250,208
non_double,341-410,251-300,233
non_double,341-410,301-350,263
non_double,341-410,351-400,296
double,0-150,0-250,191
double,0-150,251-300,215
double,0-150,301-350,242
double,0-150,351-400,273
double,151-240,0-250,287
double,151-240,251-300,323
double,151-240,301-350,363
double,151-240,351-400,409
double,241-330,0-250,318
double,241-330,251-300,357
double,241-330,301-350,402
double,241-330,351-400,452
double,341-410,0-250,361
double,341-410,251-300,406
double,341-410,301-350,457
double,341-410,351-400,514
