type_double,plage_largeur,plage_hauteur,prix
non_double,0-150,0-250,154
non_double,0-150,251-300,173
non_double,0-150,301-350,195
non_double,0-150,351-400,228
non_double,151-240,0-250,231
non_double,151-240,251-300,260
non_double,151-240,301-350,293
non_double,151-240,351-400,342
non_double,241-330,0-250,296
non_double,241-330,251-300,333
non_double,241-330,301-350,375
non_double,241-330,351-400,438
non_double,341-410,0-250,390
non_double,341-410,251-300,439
non_double,341-410,301-350,494
non_double,341-410,351-400,577
non_double,411-480,0-250,488
non_double,411-480,251-300,548
non_double,411-480,301-350,618
non_double,411-480,351-400,721
double,0-150,0-250,223
double,0-150,251-300,252
double,0-150,301-350,283
double,0-150,351-400,330
double,151-240,0-250,335
double,151-240,251-300,378
double,151-240,301-350,425
double,151-240,351-400,495
double,241-330,0-250,429
double,241-330,251-300,483
double,241-330,301-350,544
double,241-330,351-400,635
double,341-410,0-250,566
double,341-410,251-300,638
double,341-410,301-350,717
double,341-410,351-400,837
double,411-480,0-250,707
double,411-480,251-300,797
double,411-480,301-350,896
double,411-480,351-400,1046
