type_double,plage_largeur,plage_hauteur,prix
non_double,0-140,0-250,133
non_double,0-140,251-300,149
non_double,0-140,301-350,168
non_double,0-140,351-400,188
non_double,141-230,0-250,199
non_double,141-230,251-300,224
non_double,141-230,301-350,252
non_double,141-230,351-400,283
non_double,231-320,0-250,233
non_double,231-320,251-300,262
non_double,231-320,301-350,294
non_double,231-320,351-400,331
non_double,321-410,0-250,299
non_double,321-410,251-300,337
non_double,321-410,301-350,378
non_double,321-410,351-400,426
non_double,411-500,0-250,332
non_double,411-500,251-300,373
non_double,411-500,301-350,420
non_double,411-500,351-400,473
double,0-140,0-250,193
double,0-140,251-300,216
double,0-140,301-350,243
double,0-140,351-400,273
double,141-230,0-250,289
double,141-230,251-300,325
double,141-230,301-350,366
double,141-230,351-400,411
double,231-320,0-250,338
double,231-320,251-300,379
double,231-320,301-350,427
double,231-320,351-400,480
double,321-410,0-250,434
double,321-410,251-300,488
double,321-410,301-350,549
double,321-410,351-400,618
double,411-500,0-250,481
double,411-500,251-300,541
double,411-500,301-350,608
double,411-500,351-400,685
