plage_largeur,plage_hauteur,prix
0-100,0-50,51
0-100,50-100,59.5
0-100,100-150,68
0-100,150-200,76.5
0-100,200-250,85
0-100,250-300,93.5
0-100,300-350,102
0-100,350-400,110.5
0-100,450-500,119
0-100,500-550,127.5
0-100,550-600,136
0-100,600-650,144.5
100-200,0-50,59.5
100-200,50-100,68
100-200,100-150,76.5
100-200,150-200,85
100-200,200-250,93.5
100-200,250-300,102
100-200,300-350,110.5
100-200,350-400,119
100-200,450-500,127.5
100-200,500-550,136
100-200,550-600,144.5
100-200,600-650,153
200-300,0-50,76.5
200-300,50-100,85
200-300,100-150,93.5
200-300,150-200,102
200-300,200-250,110.5
200-300,250-300,119
200-300,300-350,127.5
200-300,350-400,136
200-300,450-500,144.5
200-300,500-550,153
200-300,550-600,161.5
200-300,600-650,170
300-400,0-50,93.5
300-400,50-100,102
300-400,100-150,110.5
300-400,150-200,119
300-400,200-250,127.5
300-400,250-300,136
300-400,300-350,144.5
300-400,350-400,153
300-400,450-500,161.5
300-400,500-550,170
300-400,550-600,178.5
300-400,600-650,187
400-500,0-50,102
400-500,50-100,110.5
400-500,100-150,119
400-500,150-200,127.5
400-500,200-250,136
400-500,250-300,144.5
400-500,300-350,153
400-500,350-400,161.5
400-500,450-500,170
400-500,500-550,178.5
400-500,550-600,187
400-500,600-650,195.5
500-600,0-50,119
500-600,50-100,127.5
500-600,100-150,136
500-600,150-200,144.5
500-600,200-250,153
500-600,250-300,161.5
500-600,300-350,170
500-600,350-400,178.5
500-600,450-500,187
500-600,500-550,195.5
500-600,550-600,204
500-600,600-650,212.5
600-700,0-50,153
600-700,50-100,161.5
600-700,100-150,170
600-700,150-200,178.5
600-700,200-250,187
600-700,250-300,195.5
600-700,300-350,204
600-700,350-400,212.5
600-700,450-500,221
600-700,500-550,229.5
600-700,550-600,238
600-700,600-650,246.5
