type_confection,type_pose,plage_largeur,prix
CS,plafond,0-150,56.4
CS,plafond,151-240,90.2
CS,plafond,241-330,120
CS,plafond,341-410,148.8
CS,face,0-150,76.5
CS,face,151-240,117
CS,face,241-330,153.5
CS,face,341-410,189
CV,plafond,0-150,56.4
CV,plafond,151-240,90.2
CV,plafond,241-330,120
CV,plafond,341-410,148.8
CV,face,0-150,76.5
CV,face,151-240,117
CV,face,241-330,153.5
CV,face,341-410,189
DS,plafond,0-150,56.4
DS,plafond,151-240,82.2
DS,plafond,241-330,110
DS,plafond,341-410,135.8
DS,face,0-150,76.5
DS,face,151-240,109
DS,face,241-330,143.5
DS,face,341-410,176
DV,plafond,0-150,56.4
DV,plafond,151-240,82.2
DV,plafond,241-330,110
DV,plafond,341-410,135.8
DV,face,0-150,76.5
DV,face,151-240,109
DV,face,241-330,143.5
DV,face,341-410,176
